total cycles (32767 Hz), repeat for 10 times: 1505246 (kernel size: 3, in_channels: 28, out_channels: 30, input size: 20)
total cycles (32767 Hz), repeat for 10 times: 1612473 (kernel size: 3, in_channels: 30, out_channels: 30, input size: 20)
total cycles (32767 Hz), repeat for 10 times: 1720017 (kernel size: 3, in_channels: 30, out_channels: 32, input size: 20)
total cycles (32767 Hz), repeat for 10 times: 1834314 (kernel size: 3, in_channels: 32, out_channels: 32, input size: 20)
total cycles (32767 Hz), repeat for 10 times: 2508 (kernel size: 3, in_channels: 1, out_channels: 1, input size: 24)
total cycles (32767 Hz), repeat for 10 times: 5012 (kernel size: 3, in_channels: 1, out_channels: 2, input size: 24)
total cycles (32767 Hz), repeat for 10 times: 9543 (kernel size: 3, in_channels: 2, out_channels: 2, input size: 24)
total cycles (32767 Hz), repeat for 10 times: 19081 (kernel size: 3, in_channels: 2, out_channels: 4, input size: 24)
total cycles (32767 Hz), repeat for 10 times: 37199 (kernel size: 3, in_channels: 4, out_channels: 4, input size: 24)
total cycles (32767 Hz), repeat for 10 times: 55798 (kernel size: 3, in_channels: 4, out_channels: 6, input size: 24)
total cycles (32767 Hz), repeat for 10 times: 82974 (kernel size: 3, in_channels: 6, out_channels: 6, input size: 24)
total cycles (32767 Hz), repeat for 10 times: 110631 (kernel size: 3, in_channels: 6, out_channels: 8, input size: 24)
total cycles (32767 Hz), repeat for 10 times: 146871 (kernel size: 3, in_channels: 8, out_channels: 8, input size: 24)
total cycles (32767 Hz), repeat for 10 times: 183591 (kernel size: 3, in_channels: 8, out_channels: 10, input size: 24)
total cycles (32767 Hz), repeat for 10 times: 228896 (kernel size: 3, in_channels: 10, out_channels: 10, input size: 24)
total cycles (32767 Hz), repeat for 10 times: 274670 (kernel size: 3, in_channels: 10, out_channels: 12, input size: 24)
total cycles (32767 Hz), repeat for 10 times: 329032 (kernel size: 3, in_channels: 12, out_channels: 12, input size: 24)
total cycles (32767 Hz), repeat for 10 times: 383851 (kernel size: 3, in_channels: 12, out_channels: 14, input size: 24)
total cycles (32767 Hz), repeat for 10 times: 447266 (kernel size: 3, in_channels: 14, out_channels: 14, input size: 24)
total cycles (32767 Hz), repeat for 10 times: 511173 (kernel size: 3, in_channels: 14, out_channels: 16, input size: 24)
total cycles (32767 Hz), repeat for 10 times: 583684 (kernel size: 3, in_channels: 16, out_channels: 16, input size: 24)
total cycles (32767 Hz), repeat for 10 times: 656633 (kernel size: 3, in_channels: 16, out_channels: 18, input size: 24)
