total cycles (32767 Hz), repeat for 10 times: 110316 (kernel size: 3, in_channels: 20, out_channels: 20, input size: 16)
total cycles (32767 Hz), repeat for 10 times: 121345 (kernel size: 3, in_channels: 20, out_channels: 22, input size: 16)
total cycles (32767 Hz), repeat for 10 times: 133447 (kernel size: 3, in_channels: 22, out_channels: 22, input size: 16)
total cycles (32767 Hz), repeat for 10 times: 145571 (kernel size: 3, in_channels: 22, out_channels: 24, input size: 16)
total cycles (32767 Hz), repeat for 10 times: 158769 (kernel size: 3, in_channels: 24, out_channels: 24, input size: 16)
total cycles (32767 Hz), repeat for 10 times: 171996 (kernel size: 3, in_channels: 24, out_channels: 26, input size: 16)
total cycles (32767 Hz), repeat for 10 times: 186294 (kernel size: 3, in_channels: 26, out_channels: 26, input size: 16)
total cycles (32767 Hz), repeat for 10 times: 200629 (kernel size: 3, in_channels: 26, out_channels: 28, input size: 16)
total cycles (32767 Hz), repeat for 10 times: 216027 (kernel size: 3, in_channels: 28, out_channels: 28, input size: 16)
total cycles (32767 Hz), repeat for 10 times: 231458 (kernel size: 3, in_channels: 28, out_channels: 30, input size: 16)
total cycles (32767 Hz), repeat for 10 times: 247956 (kernel size: 3, in_channels: 30, out_channels: 30, input size: 16)
total cycles (32767 Hz), repeat for 10 times: 264487 (kernel size: 3, in_channels: 30, out_channels: 32, input size: 16)
total cycles (32767 Hz), repeat for 10 times: 282078 (kernel size: 3, in_channels: 32, out_channels: 32, input size: 16)
total cycles (32767 Hz), repeat for 10 times: 473 (kernel size: 3, in_channels: 1, out_channels: 1, input size: 20)
total cycles (32767 Hz), repeat for 10 times: 910 (kernel size: 3, in_channels: 1, out_channels: 2, input size: 20)
total cycles (32767 Hz), repeat for 10 times: 1738 (kernel size: 3, in_channels: 2, out_channels: 2, input size: 20)
total cycles (32767 Hz), repeat for 10 times: 3442 (kernel size: 3, in_channels: 2, out_channels: 4, input size: 20)
total cycles (32767 Hz), repeat for 10 times: 6762 (kernel size: 3, in_channels: 4, out_channels: 4, input size: 20)
total cycles (32767 Hz), repeat for 10 times: 10126 (kernel size: 3, in_channels: 4, out_channels: 6, input size: 20)
total cycles (32767 Hz), repeat for 10 times: 15113 (kernel size: 3, in_channels: 6, out_channels: 6, input size: 20)
total cycles (32767 Hz), repeat for 10 times: 20139 (kernel size: 3, in_channels: 6, out_channels: 8, input size: 20)
total cycles (32767 Hz), repeat for 10 times: 26777 (kernel size: 3, in_channels: 8, out_channels: 8, input size: 20)
total cycles (32767 Hz), repeat for 10 times: 33458 (kernel size: 3, in_channels: 8, out_channels: 10, input size: 20)
total cycles (32767 Hz), repeat for 10 times: 41763 (kernel size: 3, in_channels: 10, out_channels: 10, input size: 20)
total cycles (32767 Hz), repeat for 10 times: 50106 (kernel size: 3, in_channels: 10, out_channels: 12, input size: 20)
total cycles (32767 Hz), repeat for 10 times: 60065 (kernel size: 3, in_channels: 12, out_channels: 12, input size: 20)
total cycles (32767 Hz), repeat for 10 times: 70074 (kernel size: 3, in_channels: 12, out_channels: 14, input size: 20)
total cycles (32767 Hz), repeat for 10 times: 81698 (kernel size: 3, in_channels: 14, out_channels: 14, input size: 20)
total cycles (32767 Hz), repeat for 10 times: 93361 (kernel size: 3, in_channels: 14, out_channels: 16, input size: 20)
total cycles (32767 Hz), repeat for 10 times: 106645 (kernel size: 3, in_channels: 16, out_channels: 16, input size: 20)
total cycles (32767 Hz), repeat for 10 times: 119973 (kernel size: 3, in_channels: 16, out_channels: 18, input size: 20)
total cycles (32767 Hz), repeat for 10 times: 134917 (kernel size: 3, in_channels: 18, out_channels: 18, input size: 20)
total cycles (32767 Hz), repeat for 10 times: 149906 (kernel size: 3, in_channels: 18, out_channels: 20, input size: 20)
total cycles (32767 Hz), repeat for 10 times: 166510 (kernel size: 3, in_channels: 20, out_channels: 20, input size: 20)
total cycles (32767 Hz), repeat for 10 times: 183159 (kernel size: 3, in_channels: 20, out_channels: 22, input size: 20)
total cycles (32767 Hz), repeat for 10 times: 201424 (kernel size: 3, in_channels: 22, out_channels: 22, input size: 20)
total cycles (32767 Hz), repeat for 10 times: 219730 (kernel size: 3, in_channels: 22, out_channels: 24, input size: 20)
total cycles (32767 Hz), repeat for 10 times: 239658 (kernel size: 3, in_channels: 24, out_channels: 24, input size: 20)
total cycles (32767 Hz), repeat for 10 times: 259621 (kernel size: 3, in_channels: 24, out_channels: 26, input size: 20)
total cycles (32767 Hz), repeat for 10 times: 281212 (kernel size: 3, in_channels: 26, out_channels: 26, input size: 20)
total cycles (32767 Hz), repeat for 10 times: 302848 (kernel size: 3, in_channels: 26, out_channels: 28, input size: 20)
total cycles (32767 Hz), repeat for 10 times: 326084 (kernel size: 3, in_channels: 28, out_channels: 28, input size: 20)
total cycles (32767 Hz), repeat for 10 times: 349376 (kernel size: 3, in_channels: 28, out_channels: 30, input size: 20)
