total cycles (32767 Hz), repeat for 10 times: 18010 (kernel size: 3, in_channels: 2, out_channels: 4, input size: 20)
total cycles (32767 Hz), repeat for 10 times: 34924 (kernel size: 3, in_channels: 4, out_channels: 4, input size: 20)
total cycles (32767 Hz), repeat for 10 times: 52386 (kernel size: 3, in_channels: 4, out_channels: 6, input size: 20)
total cycles (32767 Hz), repeat for 10 times: 77756 (kernel size: 3, in_channels: 6, out_channels: 6, input size: 20)
total cycles (32767 Hz), repeat for 10 times: 103670 (kernel size: 3, in_channels: 6, out_channels: 8, input size: 20)
total cycles (32767 Hz), repeat for 10 times: 137507 (kernel size: 3, in_channels: 8, out_channels: 8, input size: 20)
total cycles (32767 Hz), repeat for 10 times: 171885 (kernel size: 3, in_channels: 8, out_channels: 10, input size: 20)
total cycles (32767 Hz), repeat for 10 times: 214171 (kernel size: 3, in_channels: 10, out_channels: 10, input size: 20)
total cycles (32767 Hz), repeat for 10 times: 257009 (kernel size: 3, in_channels: 10, out_channels: 12, input size: 20)
total cycles (32767 Hz), repeat for 10 times: 307751 (kernel size: 3, in_channels: 12, out_channels: 12, input size: 20)
total cycles (32767 Hz), repeat for 10 times: 359033 (kernel size: 3, in_channels: 12, out_channels: 14, input size: 20)
total cycles (32767 Hz), repeat for 10 times: 418241 (kernel size: 3, in_channels: 14, out_channels: 14, input size: 20)
total cycles (32767 Hz), repeat for 10 times: 477997 (kernel size: 3, in_channels: 14, out_channels: 16, input size: 20)
total cycles (32767 Hz), repeat for 10 times: 545660 (kernel size: 3, in_channels: 16, out_channels: 16, input size: 20)
total cycles (32767 Hz), repeat for 10 times: 613861 (kernel size: 3, in_channels: 16, out_channels: 18, input size: 20)
total cycles (32767 Hz), repeat for 10 times: 689980 (kernel size: 3, in_channels: 18, out_channels: 18, input size: 20)
total cycles (32767 Hz), repeat for 10 times: 766661 (kernel size: 3, in_channels: 18, out_channels: 20, input size: 20)
total cycles (32767 Hz), repeat for 10 times: 851215 (kernel size: 3, in_channels: 20, out_channels: 20, input size: 20)
total cycles (32767 Hz), repeat for 10 times: 936326 (kernel size: 3, in_channels: 20, out_channels: 22, input size: 20)
total cycles (32767 Hz), repeat for 10 times: 1029387 (kernel size: 3, in_channels: 22, out_channels: 22, input size: 20)
total cycles (32767 Hz), repeat for 10 times: 1122985 (kernel size: 3, in_channels: 22, out_channels: 24, input size: 20)
total cycles (32767 Hz), repeat for 10 times: 1224490 (kernel size: 3, in_channels: 24, out_channels: 24, input size: 20)
total cycles (32767 Hz), repeat for 10 times: 1326503 (kernel size: 3, in_channels: 24, out_channels: 26, input size: 20)
total cycles (32767 Hz), repeat for 10 times: 1436497 (kernel size: 3, in_channels: 26, out_channels: 26, input size: 20)
total cycles (32767 Hz), repeat for 10 times: 1547019 (kernel size: 3, in_channels: 26, out_channels: 28, input size: 20)
total cycles (32767 Hz), repeat for 10 times: 1665469 (kernel size: 3, in_channels: 28, out_channels: 28, input size: 20)
total cycles (32767 Hz), repeat for 10 times: 1784345 (kernel size: 3, in_channels: 28, out_channels: 30, input size: 20)
total cycles (32767 Hz), repeat for 10 times: 1911251 (kernel size: 3, in_channels: 30, out_channels: 30, input size: 20)
total cycles (32767 Hz), repeat for 10 times: 2038670 (kernel size: 3, in_channels: 30, out_channels: 32, input size: 20)
total cycles (32767 Hz), repeat for 10 times: 2174010 (kernel size: 3, in_channels: 32, out_channels: 32, input size: 20)
total cycles (32767 Hz), repeat for 10 times: 3101 (kernel size: 3, in_channels: 1, out_channels: 1, input size: 24)
total cycles (32767 Hz), repeat for 10 times: 6191 (kernel size: 3, in_channels: 1, out_channels: 2, input size: 24)
total cycles (32767 Hz), repeat for 10 times: 11523 (kernel size: 3, in_channels: 2, out_channels: 2, input size: 24)
total cycles (32767 Hz), repeat for 10 times: 23029 (kernel size: 3, in_channels: 2, out_channels: 4, input size: 24)
total cycles (32767 Hz), repeat for 10 times: 44335 (kernel size: 3, in_channels: 4, out_channels: 4, input size: 24)
total cycles (32767 Hz), repeat for 10 times: 66501 (kernel size: 3, in_channels: 4, out_channels: 6, input size: 24)
total cycles (32767 Hz), repeat for 10 times: 98468 (kernel size: 3, in_channels: 6, out_channels: 6, input size: 24)
total cycles (32767 Hz), repeat for 10 times: 131284 (kernel size: 3, in_channels: 6, out_channels: 8, input size: 24)
total cycles (32767 Hz), repeat for 10 times: 173897 (kernel size: 3, in_channels: 8, out_channels: 8, input size: 24)
total cycles (32767 Hz), repeat for 10 times: 217370 (kernel size: 3, in_channels: 8, out_channels: 10, input size: 24)
total cycles (32767 Hz), repeat for 10 times: 270646 (kernel size: 3, in_channels: 10, out_channels: 10, input size: 24)
total cycles (32767 Hz), repeat for 10 times: 324772 (kernel size: 3, in_channels: 10, out_channels: 12, input size: 24)
total cycles (32767 Hz), repeat for 10 times: 388704 (kernel size: 3, in_channels: 12, out_channels: 12, input size: 24)
total cycles (32767 Hz), repeat for 10 times: 453480 (kernel size: 3, in_channels: 12, out_channels: 14, input size: 24)
total cycles (32767 Hz), repeat for 10 times: 528069 (kernel size: 3, in_channels: 14, out_channels: 14, input size: 24)
total cycles (32767 Hz), repeat for 10 times: 603510 (kernel size: 3, in_channels: 14, out_channels: 16, input size: 24)
total cycles (32767 Hz), repeat for 10 times: 688765 (kernel size: 3, in_channels: 16, out_channels: 16, input size: 24)
total cycles (32767 Hz), repeat for 10 times: 774842 (kernel size: 3, in_channels: 16, out_channels: 18, input size: 24)
total cycles (32767 Hz), repeat for 10 times: 870739 (kernel size: 3, in_channels: 18, out_channels: 18, input size: 24)
total cycles (32767 Hz), repeat for 10 times: 967472 (kernel size: 3, in_channels: 18, out_channels: 20, input size: 24)
total cycles (32767 Hz), repeat for 10 times: 1074050 (kernel size: 3, in_channels: 20, out_channels: 20, input size: 24)
total cycles (32767 Hz), repeat for 10 times: 1181449 (kernel size: 3, in_channels: 20, out_channels: 22, input size: 24)
total cycles (32767 Hz), repeat for 10 times: 1298673 (kernel size: 3, in_channels: 22, out_channels: 22, input size: 24)
total cycles (32767 Hz), repeat for 10 times: 1416708 (kernel size: 3, in_channels: 22, out_channels: 24, input size: 24)
total cycles (32767 Hz), repeat for 10 times: 1544524 (kernel size: 3, in_channels: 24, out_channels: 24, input size: 24)
total cycles (32767 Hz), repeat for 10 times: 1673260 (kernel size: 3, in_channels: 24, out_channels: 26, input size: 24)
total cycles (32767 Hz), repeat for 10 times: 1811778 (kernel size: 3, in_channels: 26, out_channels: 26, input size: 24)
total cycles (32767 Hz), repeat for 10 times: 1951163 (kernel size: 3, in_channels: 26, out_channels: 28, input size: 24)
total cycles (32767 Hz), repeat for 10 times: 2100371 (kernel size: 3, in_channels: 28, out_channels: 28, input size: 24)
total cycles (32767 Hz), repeat for 10 times: 2250415 (kernel size: 3, in_channels: 28, out_channels: 30, input size: 24)
total cycles (32767 Hz), repeat for 10 times: 2410239 (kernel size: 3, in_channels: 30, out_channels: 30, input size: 24)
total cycles (32767 Hz), repeat for 10 times: 2570906 (kernel size: 3, in_channels: 30, out_channels: 32, input size: 24)
total cycles (32767 Hz), repeat for 10 times: 2741400 (kernel size: 3, in_channels: 32, out_channels: 32, input size: 24)
total cycles (32767 Hz), repeat for 10 times: 3812 (kernel size: 3, in_channels: 1, out_channels: 1, input size: 28)
total cycles (32767 Hz), repeat for 10 times: 7617 (kernel size: 3, in_channels: 1, out_channels: 2, input size: 28)
total cycles (32767 Hz), repeat for 10 times: 14104 (kernel size: 3, in_channels: 2, out_channels: 2, input size: 28)
total cycles (32767 Hz), repeat for 10 times: 28196 (kernel size: 3, in_channels: 2, out_channels: 4, input size: 28)
total cycles (32767 Hz), repeat for 10 times: 54146 (kernel size: 3, in_channels: 4, out_channels: 4, input size: 28)
total cycles (32767 Hz), repeat for 10 times: 81213 (kernel size: 3, in_channels: 4, out_channels: 6, input size: 28)
total cycles (32767 Hz), repeat for 10 times: 120134 (kernel size: 3, in_channels: 6, out_channels: 6, input size: 28)
total cycles (32767 Hz), repeat for 10 times: 160176 (kernel size: 3, in_channels: 6, out_channels: 8, input size: 28)
total cycles (32767 Hz), repeat for 10 times: 212073 (kernel size: 3, in_channels: 8, out_channels: 8, input size: 28)
total cycles (32767 Hz), repeat for 10 times: 265091 (kernel size: 3, in_channels: 8, out_channels: 10, input size: 28)
total cycles (32767 Hz), repeat for 10 times: 329952 (kernel size: 3, in_channels: 10, out_channels: 10, input size: 28)
total cycles (32767 Hz), repeat for 10 times: 395942 (kernel size: 3, in_channels: 10, out_channels: 12, input size: 28)
total cycles (32767 Hz), repeat for 10 times: 473784 (kernel size: 3, in_channels: 12, out_channels: 12, input size: 28)
total cycles (32767 Hz), repeat for 10 times: 552753 (kernel size: 3, in_channels: 12, out_channels: 14, input size: 28)
total cycles (32767 Hz), repeat for 10 times: 643566 (kernel size: 3, in_channels: 14, out_channels: 14, input size: 28)
total cycles (32767 Hz), repeat for 10 times: 735492 (kernel size: 3, in_channels: 14, out_channels: 16, input size: 28)
total cycles (32767 Hz), repeat for 10 times: 839264 (kernel size: 3, in_channels: 16, out_channels: 16, input size: 28)
total cycles (32767 Hz), repeat for 10 times: 944185 (kernel size: 3, in_channels: 16, out_channels: 18, input size: 28)
total cycles (32767 Hz), repeat for 10 times: 1060932 (kernel size: 3, in_channels: 18, out_channels: 18, input size: 28)
total cycles (32767 Hz), repeat for 10 times: 1178862 (kernel size: 3, in_channels: 18, out_channels: 20, input size: 28)
total cycles (32767 Hz), repeat for 10 times: 1308613 (kernel size: 3, in_channels: 20, out_channels: 20, input size: 28)
total cycles (32767 Hz), repeat for 10 times: 1439423 (kernel size: 3, in_channels: 20, out_channels: 22, input size: 28)
total cycles (32767 Hz), repeat for 10 times: 1582156 (kernel size: 3, in_channels: 22, out_channels: 22, input size: 28)
total cycles (32767 Hz), repeat for 10 times: 1725977 (kernel size: 3, in_channels: 22, out_channels: 24, input size: 28)
total cycles (32767 Hz), repeat for 10 times: 1881661 (kernel size: 3, in_channels: 24, out_channels: 24, input size: 28)
total cycles (32767 Hz), repeat for 10 times: 2038491 (kernel size: 3, in_channels: 24, out_channels: 26, input size: 28)
total cycles (32767 Hz), repeat for 10 times: 2207115 (kernel size: 3, in_channels: 26, out_channels: 26, input size: 28)
total cycles (32767 Hz), repeat for 10 times: 2376964 (kernel size: 3, in_channels: 26, out_channels: 28, input size: 28)
total cycles (32767 Hz), repeat for 10 times: 2558602 (kernel size: 3, in_channels: 28, out_channels: 28, input size: 28)
total cycles (32767 Hz), repeat for 10 times: 2741372 (kernel size: 3, in_channels: 28, out_channels: 30, input size: 28)
total cycles (32767 Hz), repeat for 10 times: 2935970 (kernel size: 3, in_channels: 30, out_channels: 30, input size: 28)
total cycles (32767 Hz), repeat for 10 times: 3131659 (kernel size: 3, in_channels: 30, out_channels: 32, input size: 28)
total cycles (32767 Hz), repeat for 10 times: 3339163 (kernel size: 3, in_channels: 32, out_channels: 32, input size: 28)
