============================ benchmark fir ============================
total cycles (32767 Hz), repeat for 10 times: 645822 (kernel size: 3, in_channels: 28, out_channels: 28, input size: 28)
total cycles (32767 Hz), repeat for 10 times: 691945 (kernel size: 3, in_channels: 28, out_channels: 30, input size: 28)
total cycles (32767 Hz), repeat for 10 times: 741266 (kernel size: 3, in_channels: 30, out_channels: 30, input size: 28)
total cycles (32767 Hz), repeat for 10 times: 790708 (kernel size: 3, in_channels: 30, out_channels: 32, input size: 28)
total cycles (32767 Hz), repeat for 10 times: 843334 (kernel size: 3, in_channels: 32, out_channels: 32, input size: 28)
total cycles (32767 Hz), repeat for 10 times: 1147 (kernel size: 3, in_channels: 1, out_channels: 1, input size: 32)
total cycles (32767 Hz), repeat for 10 times: 2261 (kernel size: 3, in_channels: 1, out_channels: 2, input size: 32)
total cycles (32767 Hz), repeat for 10 times: 4377 (kernel size: 3, in_channels: 2, out_channels: 2, input size: 32)
total cycles (32767 Hz), repeat for 10 times: 8718 (kernel size: 3, in_channels: 2, out_channels: 4, input size: 32)
total cycles (32767 Hz), repeat for 10 times: 17171 (kernel size: 3, in_channels: 4, out_channels: 4, input size: 32)
total cycles (32767 Hz), repeat for 10 times: 25742 (kernel size: 3, in_channels: 4, out_channels: 6, input size: 32)
total cycles (32767 Hz), repeat for 10 times: 38425 (kernel size: 3, in_channels: 6, out_channels: 6, input size: 32)
total cycles (32767 Hz), repeat for 10 times: 51224 (kernel size: 3, in_channels: 6, out_channels: 8, input size: 32)
total cycles (32767 Hz), repeat for 10 times: 68134 (kernel size: 3, in_channels: 8, out_channels: 8, input size: 32)
total cycles (32767 Hz), repeat for 10 times: 85161 (kernel size: 3, in_channels: 8, out_channels: 10, input size: 32)
total cycles (32767 Hz), repeat for 10 times: 106298 (kernel size: 3, in_channels: 10, out_channels: 10, input size: 32)
total cycles (32767 Hz), repeat for 10 times: 127546 (kernel size: 3, in_channels: 10, out_channels: 12, input size: 32)
total cycles (32767 Hz), repeat for 10 times: 152909 (kernel size: 3, in_channels: 12, out_channels: 12, input size: 32)
total cycles (32767 Hz), repeat for 10 times: 178392 (kernel size: 3, in_channels: 12, out_channels: 14, input size: 32)
