============================ benchmark mac ============================
total cycles (32767 Hz), repeat for 10 times: 101009 (kernel size: 3, in_channels: 30, out_channels: 30, input size: 12)
total cycles (32767 Hz), repeat for 10 times: 106238 (kernel size: 3, in_channels: 30, out_channels: 32, input size: 12)
total cycles (32767 Hz), repeat for 10 times: 112155 (kernel size: 3, in_channels: 32, out_channels: 32, input size: 12)
total cycles (32767 Hz), repeat for 10 times: 3096 (kernel size: 3, in_channels: 1, out_channels: 1, input size: 16)
total cycles (32767 Hz), repeat for 10 times: 4292 (kernel size: 3, in_channels: 1, out_channels: 2, input size: 16)
total cycles (32767 Hz), repeat for 10 times: 6022 (kernel size: 3, in_channels: 2, out_channels: 2, input size: 16)
total cycles (32767 Hz), repeat for 10 times: 8674 (kernel size: 3, in_channels: 2, out_channels: 4, input size: 16)
total cycles (32767 Hz), repeat for 10 times: 12686 (kernel size: 3, in_channels: 4, out_channels: 4, input size: 16)
total cycles (32767 Hz), repeat for 10 times: 15882 (kernel size: 3, in_channels: 4, out_channels: 6, input size: 16)
total cycles (32767 Hz), repeat for 10 times: 20435 (kernel size: 3, in_channels: 6, out_channels: 6, input size: 16)
total cycles (32767 Hz), repeat for 10 times: 24172 (kernel size: 3, in_channels: 6, out_channels: 8, input size: 16)
total cycles (32767 Hz), repeat for 10 times: 29265 (kernel size: 3, in_channels: 8, out_channels: 8, input size: 16)
total cycles (32767 Hz), repeat for 10 times: 33544 (kernel size: 3, in_channels: 8, out_channels: 10, input size: 16)
total cycles (32767 Hz), repeat for 10 times: 39182 (kernel size: 3, in_channels: 10, out_channels: 10, input size: 16)
total cycles (32767 Hz), repeat for 10 times: 44002 (kernel size: 3, in_channels: 10, out_channels: 12, input size: 16)
total cycles (32767 Hz), repeat for 10 times: 50181 (kernel size: 3, in_channels: 12, out_channels: 12, input size: 16)
total cycles (32767 Hz), repeat for 10 times: 55545 (kernel size: 3, in_channels: 12, out_channels: 14, input size: 16)
total cycles (32767 Hz), repeat for 10 times: 62267 (kernel size: 3, in_channels: 14, out_channels: 14, input size: 16)
total cycles (32767 Hz), repeat for 10 times: 68169 (kernel size: 3, in_channels: 14, out_channels: 16, input size: 16)
